,title,budget,revenue,RB Ratio,metascore
The Green Mile,The Green Mile,60000000,284600000,4.743333333,61
Chicken Little,Chicken Little,150000000,314432665,2.096217767,48
Gone Girl,Gone Girl,61000000,369330363,6.054596115,79
The Bourne Identity,The Bourne Identity,60000000,214034224,3.567237067,68
GoldenEye,GoldenEye,58000000,352194034,6.072310931,65
The General's Daughter,The General's Daughter,60000000,149705852,2.495097533,47
The Truman Show,The Truman Show,60000000,264118201,4.401970017,90
The Prince of Egypt,The Prince of Egypt,70000000,218613188,3.123045543,64
Daddy Day Care,Daddy Day Care,60000000,164433867,2.74056445,39
2 Guns,2 Guns,61000000,131940411,2.162957557,55
The Italian Job,The Italian Job,60000000,176070171,2.93450285,68
Two Weeks Notice,Two Weeks Notice,60000000,93354918,1.5559153,42
Antz,Antz,60000000,171757863,2.86263105,72
Couples Retreat,Couples Retreat,70000000,171844840,2.454926286,23
Days of Thunder,Days of Thunder,60000000,157920733,2.632012217,60
Cheaper by the Dozen 2,Cheaper by the Dozen 2,60000000,129181830,2.1530305,34
Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials,61000000,311256926,5.102572557,43
Eat Pray Love,Eat Pray Love,60000000,204594016,3.409900267,50
RED,RED,58000000,71664962,1.235602793,60
Any Given Sunday,Any Given Sunday,55000000,100230832,1.822378764,52
The Horse Whisperer,The Horse Whisperer,60000000,186883563,3.11472605,65
Collateral,Collateral,65000000,217764291,3.350219862,71
The Scorpion King,The Scorpion King,60000000,165333180,2.755553,45
Ladder 49,Ladder 49,60000000,74541707,1.242361783,47
Jack Reacher,Jack Reacher,60000000,218340595,3.639009917,50
Deep Blue Sea,Deep Blue Sea,60000000,73648228,1.227470467,54
Contagion,Contagion,60000000,137551594,2.292526567,70
Coraline,Coraline,60000000,124596398,2.076606633,80
The Happening,The Happening,60000000,163403799,2.72339665,34
Man on Fire,Man on Fire,70000000,130293714,1.861338771,47
The Shaggy Dog,The Shaggy Dog,50000000,61112916,1.22225832,43
Starsky & Hutch,Starsky & Hutch,60000000,170268750,2.8378125,55
Jingle All the Way,Jingle All the Way,60000000,129832389,2.16387315,34
Hellboy,Hellboy,66000000,99318987,1.504833136,72
A Civil Action,A Civil Action,70000000,56702901,0.810041443,68
ParaNorman,ParaNorman,60000000,107139399,1.78565665,72
The Jackal,The Jackal,60000000,159330280,2.655504667,36
Paycheck,Paycheck,60000000,96269812,1.604496867,43
The Tale of Despereaux,The Tale of Despereaux,60000000,50877145,0.847952417,53
Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,60000000,104324083,1.738734717,52
Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit,60000000,50549107,0.842485117,57
Joy,Joy,60000000,101134059,1.68556765,56
London Has Fallen,London Has Fallen,60000000,205754447,3.429240783,28
Alien: Resurrection,Alien: Resurrection,70000000,162000000,2.314285714,63
Shooter,Shooter,61000000,95696996,1.568803213,53
The Boxtrolls,The Boxtrolls,60000000,108255770,1.804262833,61
Practical Magic,Practical Magic,75000000,46683377,0.622445027,46
The Lego Movie,The Lego Movie,60000000,469160692,7.819344867,83
Reign of Fire,Reign of Fire,60000000,43061982,0.7176997,39
Gangster Squad,Gangster Squad,60000000,105200903,1.753348383,40
Year One,Year One,60000000,62357900,1.039298333,34
Invictus,Invictus,60000000,122233971,2.03723285,74
State of Play,State of Play,60000000,87784194,1.4630699,64
Duplicity,Duplicity,78146652,60000000,0.767787211,69
My Favorite Martian,My Favorite Martian,65000000,36850101,0.566924631,33
The Sentinel,The Sentinel,60000000,77920346,1.298672433,49
Planet 51,Planet 51,70000000,104945765,1.499225214,39
Star Trek: Nemesis,Star Trek: Nemesis,60000000,67312826,1.121880433,51
Intolerable Cruelty,Intolerable Cruelty,60000000,119940815,1.999013583,71
Edge of Darkness,Edge of Darkness,80000000,74901339,0.936266738,55
The Relic,The Relic,60000000,33956608,0.565943467,55
Analyze That,Analyze That,60000000,55003135,0.916718917,37
Righteous Kill,Righteous Kill,60000000,73174566,1.2195761,36
The Soloist,The Soloist,60000000,31720158,0.5286693,61
The Legend of Bagger Vance,The Legend of Bagger Vance,80000000,39459427,0.493242838,47
Almost Famous,Almost Famous,60000000,47383689,0.78972815,90
xXx: State of the Union,xXx: State of the Union,60000000,71073932,1.184565533,37
Priest,Priest,60000000,78309131,1.305152183,41
Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,60000000,26288320,0.438138667,48
Event Horizon,Event Horizon,60000000,26673242,0.444554033,35
Dragonfly,Dragonfly,60000000,52322400,0.87204,25
The Black Dahlia,The Black Dahlia,50000000,49111202,0.98222404,49
Flyboys,Flyboys,60000000,17800000,0.296666667,47
The Last Castle,The Last Castle,72000000,27642707,0.383926486,43
Supernova,Supernova,90000000,14828081,0.164756456,19
Winter's Tale,Winter's Tale,60000000,30800231,0.513337183,31
The Mortal Instruments: City of Bones,The Mortal Instruments: City of Bones,60000000,90565421,1.509423683,33
Meet Dave,Meet Dave,60000000,50650079,0.844167983,43
Dark Water,Dark Water,30000000,25473093,0.8491031,52
The Spirit,The Spirit,60000000,39031337,0.650522283,30
Mortdecai,Mortdecai,60000000,30418560,0.506976,27
The Great Raid,The Great Raid,80000000,10166502,0.127081275,48
Deadpool,Deadpool,58000000,783112979,13.50194791,65
American Sniper,American Sniper,58800000,542307423,9.222915357,72
Goosebumps,Goosebumps,58000000,158162788,2.726944621,60
Just Like Heaven,Just Like Heaven,58000000,102854431,1.773352259,47
The Flintstones in Viva Rock Vegas,The Flintstones in Viva Rock Vegas,83000000,59468275,0.716485241,27
Rambo III,Rambo III,63000000,189015611,3.000247794,36
Leatherheads,Leatherheads,58000000,41299492,0.712060207,56
Did You Hear About the Morgans?,Did You Hear About the Morgans?,58000000,85280250,1.470349138,27
The Internship,The Internship,58000000,44000000,0.75862069,42
Resident Evil: Afterlife,Resident Evil: Afterlife,60000000,300228084,5.0038014,37
Red Tails,Red Tails,58000000,50365377,0.868368569,46
The Devil's Advocate,The Devil's Advocate,57000000,152944660,2.683239649,60
That's My Boy,That's My Boy,70000000,58058367,0.829405243,31
After the Sunset,After the Sunset,60000000,61347797,1.022463283,38
Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,57000000,149217355,2.617848333,34
Captain Corelli's Mandolin,Captain Corelli's Mandolin,57000000,62112895,1.089699912,36
The Pacifier,The Pacifier,56000000,113006880,2.01798,30
Walking Tall,Walking Tall,56000000,57223890,1.021855179,44
Forrest Gump,Forrest Gump,55000000,677945399,12.32627998,82
Alvin and the Chipmunks,Alvin and the Chipmunks,60000000,361366633,6.022777217,39
Meet the Parents,Meet the Parents,55000000,330444045,6.008073545,73
Pocahontas,Pocahontas,55000000,346079773,6.292359509,58
Superman,Superman,55000000,300218018,5.458509418,80
The Nutty Professor,The Nutty Professor,54000000,128769345,2.3846175,62
Hitch,Hitch,70000000,368100420,5.258577429,58
American Wedding,American Wedding,55000000,231449203,4.208167327,43
Captain Phillips,Captain Phillips,55000000,95000000,1.727272727,83
Date Night,Date Night,55000000,152263880,2.768434182,56
Casper,Casper,50000000,287928194,5.75856388,49
The Equalizer,The Equalizer,55000000,192330738,3.496922509,57
Maid in Manhattan,Maid in Manhattan,55000000,154906693,2.816485327,45
Crimson Tide,Crimson Tide,53000000,157387195,2.969569717,66
The Pursuit of Happyness,The Pursuit of Happyness,55000000,307077295,5.583223545,64
Flightplan,Flightplan,55000000,223387299,4.061587255,53
Disclosure,Disclosure,55000000,214015089,3.891183436,58
City of Angels,City of Angels,55000000,198685114,3.612456618,54
Kill Bill: Vol. 1,Kill Bill: Vol. 1,30000000,180949000,6.031633333,69
Kill Bill: Vol. 2,Kill Bill: Vol. 2,30000000,152159461,5.071982033,83
Death Becomes Her,Death Becomes Her,55000000,149022650,2.709502727,56
Shanghai Noon,Shanghai Noon,55000000,56932305,1.035132818,77
Executive Decision,Executive Decision,55000000,121969216,2.217622109,62
Mr. Popper's Penguins,Mr. Popper's Penguins,55000000,187361754,3.406577345,53
The Forbidden Kingdom,The Forbidden Kingdom,55000000,127906624,2.325574982,57
Free Birds,Free Birds,55000000,110000000,2,38
Evita,Evita,55000000,141047179,2.564494164,45
Ronin,Ronin,55000000,41610884,0.756561527,67
Paddington,Paddington,55000000,259207227,4.712858673,77
The Watch,The Watch,68000000,68267862,1.003939147,36
The Hunted,The Hunted,55000000,34234008,0.622436509,40
Stuck on You,Stuck on You,55000000,33828318,0.615060327,62
Changeling,Changeling,55000000,113020255,2.054913727,63
The Fan,The Fan,55000000,18626419,0.338662164,32
The Phantom of the Opera,The Phantom of the Opera,70000000,154648887,2.209269814,40
Elizabeth: The Golden Age,Elizabeth: The Golden Age,55000000,74237563,1.349773873,45
Gods and Generals,Gods and Generals,56000000,12923936,0.230784571,30
Muppets Most Wanted,Muppets Most Wanted,50000000,80383290,1.6076658,61
Thunderbirds,Thunderbirds,57000000,28283637,0.496204158,36
Burlesque,Burlesque,55000000,89519773,1.627632236,47
Lolita,Lolita,2000000,9250000,4.625,79
Blade II,Blade II,54000000,155010032,2.870556148,52
Seven Pounds,Seven Pounds,55000000,168167691,3.057594382,36
Bullet to the Head,Bullet to the Head,55000000,9489829,0.172542345,48
The Godfather: Part III,The Godfather: Part III,54000000,136766062,2.532704852,60
Elizabethtown,Elizabethtown,57000000,52034889,0.912892789,45
"You, Me and Dupree","You, Me and Dupree",54000000,130431368,2.415395704,46
Superman II,Superman II,54000000,190458706,3.527013074,87
Gigli,Gigli,54000000,7266209,0.134559426,18
All the King's Men,All the King's Men,55000000,9450897,0.171834491,37
Shaft,Shaft,46000000,107196498,2.330358652,50
Anastasia,Anastasia,53000000,139804348,2.637817887,61
Moulin Rouge!,Moulin Rouge!,52500000,179213434,3.413589219,66
Domestic Disturbance,Domestic Disturbance,75000000,54249294,0.72332392,29
Black Mass,Black Mass,53000000,98837872,1.864865509,68
Flags of Our Fathers,Flags of Our Fathers,90000000,65900249,0.732224989,79
Law Abiding Citizen,Law Abiding Citizen,53000000,126690726,2.390391057,34
Grindhouse,Grindhouse,67000000,25037897,0.373699955,77
Catch Me If You Can,Catch Me If You Can,52000000,352114312,6.771429077,75
Zero Dark Thirty,Zero Dark Thirty,40000000,132820716,3.3205179,95
The Break-Up,The Break-Up,52000000,204999686,3.942301654,45
Mamma Mia!,Mamma Mia!,52000000,609841637,11.72772379,51
Valentine's Day,Valentine's Day,52000000,216485654,4.163185654,34
The Dukes of Hazzard,The Dukes of Hazzard,50000000,110803676,2.21607352,33
The Thin Red Line,The Thin Red Line,52000000,98126565,1.887049327,78
The Change-Up,The Change-Up,52000000,75450437,1.450969942,39
Man on the Moon,Man on the Moon,82000000,47434430,0.578468659,58
Casino,Casino,52000000,116112375,2.232930288,73
From Paris with Love,From Paris with Love,52000000,52826594,1.015896038,42
"Me, Myself & Irene","Me, Myself & Irene",51000000,149270999,2.926882333,49
Barnyard,Barnyard,51000000,72779000,1.427039216,42
The Twilight Saga: New Moon,The Twilight Saga: New Moon,50000000,709827462,14.19654924,44
Shrek,Shrek,60000000,484409218,8.073486967,84
The Adjustment Bureau,The Adjustment Bureau,50200000,127869379,2.547198785,60
Robin Hood: Prince of Thieves,Robin Hood: Prince of Thieves,48000000,390493908,8.13528975,51
Jerry Maguire,Jerry Maguire,50000000,273552592,5.47105184,77
Ted,Ted,50000000,549368315,10.9873663,62
As Good as It Gets,As Good as It Gets,50000000,314178011,6.28356022,67
Patch Adams,Patch Adams,50000000,202292902,4.04585804,25
Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,50000000,173649015,3.4729803,61
Mr. Deeds,Mr. Deeds,50000000,171269535,3.4253907,24
Super 8,Super 8,50000000,260095987,5.20191974,72
Erin Brockovich,Erin Brockovich,52000000,256271286,4.928293962,73
How to Lose a Guy in 10 Days,How to Lose a Guy in 10 Days,50000000,177371441,3.54742882,45
22 Jump Street,22 Jump Street,50000000,188441614,3.76883228,71
Interview with the Vampire,Interview with the Vampire,60000000,223664608,3.727743467,59
Yes Man,Yes Man,70000000,225990978,3.228442543,46
Central Intelligence,Central Intelligence,50000000,216972543,4.33945086,52
Daddy's Home,Daddy's Home,50000000,242786137,4.85572274,42
Into the Woods,Into the Woods,50000000,212902372,4.25804744,69
Inside Man,Inside Man,45000000,184376254,4.097250089,76
Payback,Payback,90000000,161626121,1.795845789,46
Congo,Congo,50000000,152022101,3.04044202,22
We Bought a Zoo,We Bought a Zoo,50000000,120081841,2.40163682,58
Knowing,Knowing,50000000,155446362,3.10892724,41
Failure to Launch,Failure to Launch,50000000,88715192,1.77430384,47
The Ring Two,The Ring Two,50000000,161451538,3.22903076,44
"Crazy, Stupid, Love.","Crazy, Stupid, Love.",50000000,142851197,2.85702394,68
Garfield,Garfield,50000000,200804534,4.01609068,27
Moneyball,Moneyball,50000000,110206216,2.20412432,87
Outbreak,Outbreak,50000000,189859560,3.7971912,65
Non-Stop,Non-Stop,50000000,222809600,4.456192,56
Race to Witch Mountain,Race to Witch Mountain,50000000,106303988,2.12607976,52
V for Vendetta,V for Vendetta,54000000,132511035,2.453908056,62
Shanghai Knights,Shanghai Knights,50000000,88323487,1.76646974,58
Curious George,Curious George,50000000,69834815,1.3966963,62
Herbie Fully Loaded,Herbie Fully Loaded,50000000,66002004,1.32004008,47
Don't Say a Word,Don't Say a Word,50000000,100020092,2.00040184,38
Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,50000000,224803475,4.4960695,23
Unfaithful,Unfaithful,50000000,119137784,2.38275568,63
I Am Number Four,I Am Number Four,50000000,144492830,2.8898566,36
Syriana,Syriana,50000000,94000000,1.88,76
The Book of Life,The Book of Life,50000000,97437106,1.94874212,67
Firewall,Firewall,45000000,82800000,1.84,45
Absolute Power,Absolute Power,50000000,50068310,1.0013662,52
G.I. Jane,G.I. Jane,50000000,48169156,0.96338312,62
The Game,The Game,50000000,109423648,2.18847296,61
Silent Hill,Silent Hill,50000000,97607453,1.95214906,31
American Reunion,American Reunion,50000000,234989584,4.69979168,49
The Negotiator,The Negotiator,50000000,44547681,0.89095362,62
Into the Storm,Into the Storm,50000000,160602194,3.21204388,44
Beverly Hills Cop III,Beverly Hills Cop III,50000000,119208989,2.38417978,16
The Judge,The Judge,50000000,83719388,1.67438776,48
Resident Evil: Apocalypse,Resident Evil: Apocalypse,45000000,129394835,2.875440778,35
Bridget Jones: The Edge of Reason,Bridget Jones: The Edge of Reason,50000000,40203020,0.8040604,44
Out of Time,Out of Time,50000000,55495563,1.10991126,63
On Deadly Ground,On Deadly Ground,50000000,49000000,0.98,33
The Adventures of Sharkboy and Lavagirl,The Adventures of Sharkboy and Lavagirl,50000000,69425966,1.38851932,38
The Beach,The Beach,40000000,144056873,3.601421825,43
Raising Helen,Raising Helen,50000000,49718611,0.99437222,38
Ninja Assassin,Ninja Assassin,40000000,60462347,1.511558675,34
Marmaduke,Marmaduke,50000000,83761844,1.67523688,30
Hereafter,Hereafter,50000000,105197635,2.1039527,56
Murder by Numbers,Murder by Numbers,50000000,56714147,1.13428294,50
Hannibal Rising,Hannibal Rising,50000000,82169884,1.64339768,35
The Story of Us,The Story of Us,50000000,58900031,1.17800062,37
The Host,The Host,44000000,63327201,1.439254568,35
Basic,Basic,50000000,42792561,0.85585122,34
Blood Work,Blood Work,50000000,26199517,0.52399034,64
The International,The International,50000000,60161391,1.20322782,52
Escape from L.A.,Escape from L.A.,50000000,42277365,0.8455473,54
The Iron Giant,The Iron Giant,70000000,23159305,0.330847214,85
The Life Aquatic with Steve Zissou,The Life Aquatic with Steve Zissou,50000000,34808403,0.69616806,62
Free State of Jones,Free State of Jones,50000000,25035950,0.500719,53
The Life of David Gale,The Life of David Gale,50000000,38955598,0.77911196,31
Run All Night,Run All Night,50000000,71561644,1.43123288,59
Eastern Promises,Eastern Promises,51500000,55112356,1.070142835,82
Into the Blue,Into the Blue,50000000,44434439,0.88868878,45
The Messenger: The Story of Joan of Arc,The Messenger: The Story of Joan of Arc,60000000,66976317,1.11627195,54
Your Highness,Your Highness,49900000,26121638,0.523479719,31
Dream House,Dream House,50000000,38502340,0.7700468,35
Mad City,Mad City,50000000,10541523,0.21083046,45
Fair Game,Fair Game,22000000,24188922,1.099496455,69
Domino,Domino,50000000,22944502,0.45889004,36
Gamer,Gamer,50000000,40828540,0.8165708,27
Beautiful Creatures,Beautiful Creatures,60000000,60052138,1.000868967,52
Zoolander 2,Zoolander 2,50000000,55969000,1.11938,34
The Big Bounce,The Big Bounce,50000000,6808550,0.136171,42
Drive Angry,Drive Angry,50000000,28931401,0.57862802,44
Street Fighter: The Legend of Chun-Li,Street Fighter: The Legend of Chun-Li,50000000,12764201,0.25528402,17
The One,The One,49000000,72700000,1.483673469,25
The Adventures of Ford Fairlane,The Adventures of Ford Fairlane,49000000,20423389,0.416803857,24
Traffic,Traffic,48000000,207515725,4.323244271,86
Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,48000000,474171806,9.878579292,65
Chappie,Chappie,49000000,104399548,2.13060302,41
The Bone Collector,The Bone Collector,73000000,151493655,2.075255548,45
Panic Room,Panic Room,48000000,196397415,4.091612813,65
Three Kings,Three Kings,75000000,108000000,1.44,82
Child 44,Child 44,50000000,3324330,0.0664866,41
Rat Race,Rat Race,48000000,85498534,1.781219458,52
K-PAX,K-PAX,48000000,50315140,1.048232083,49
Bedazzled,Bedazzled,48000000,90383208,1.8829835,49
The Cotton Club,The Cotton Club,58000000,25928721,0.447046914,68
3:10 to Yuma,3:10 to Yuma,55000000,70016220,1.273022182,76
Taken 3,Taken 3,48000000,325771424,6.786904667,26
Out of Sight,Out of Sight,48000000,77745568,1.619699333,85
The Cable Guy,The Cable Guy,47000000,102825796,2.187782894,56
The Thomas Crown Affair,The Thomas Crown Affair,48000000,124305181,2.589691271,72
Riding in Cars with Boys,Riding in Cars with Boys,48000000,35743308,0.74465225,43
First Blood,First Blood,15000000,125212904,8.347526933,61
Happily N'Ever After,Happily N'Ever After,47000000,38085778,0.810335702,28
Mary Reilly,Mary Reilly,47000000,12379402,0.263391532,44
My Best Friend's Wedding,My Best Friend's Wedding,38000000,299288605,7.876015921,50
Insomnia,Insomnia,46000000,113714830,2.472061522,78
Star Trek: First Contact,Star Trek: First Contact,46000000,150000000,3.260869565,71
Jonah Hex,Jonah Hex,47000000,10539000,0.224234043,33
Courage Under Fire,Courage Under Fire,46000000,100860818,2.192626478,77
Liar Liar,Liar Liar,45000000,181000000,4.022222222,70
The Infiltrator,The Infiltrator,25000000,15436808,0.61747232,66
The Flintstones,The Flintstones,46000000,341631208,7.426765391,38
Taken 2,Taken 2,45000000,376141306,8.358695689,45
Scary Movie 3,Scary Movie 3,48000000,220673217,4.597358688,49
Miss Congeniality,Miss Congeniality,45000000,212000000,4.711111111,43
Journey to the Center of the Earth,Journey to the Center of the Earth,45000000,101702060,2.260045778,57
The Princess Diaries 2: Royal Engagement,The Princess Diaries 2: Royal Engagement,40000000,95149435,2.378735875,43
The Pelican Brief,The Pelican Brief,45000000,195268056,4.339290133,50
The Client,The Client,45000000,117615211,2.613671356,65
The Bucket List,The Bucket List,45000000,175372502,3.897166711,42
Patriot Games,Patriot Games,45000000,178051587,3.956701933,64
Monster-in-Law,Monster-in-Law,43000000,154749918,3.598835302,31
Prisoners,Prisoners,46000000,122126687,2.654927978,74
Training Day,Training Day,45000000,104876233,2.330582956,69
Galaxy Quest,Galaxy Quest,45000000,90683916,2.015198133,70
Scary Movie 2,Scary Movie 2,45000000,141220678,3.138237289,29
The Muppets,The Muppets,45000000,165184237,3.670760822,75
Blade,Blade,45000000,131183530,2.915189556,45
Coach Carter,Coach Carter,30000000,76669806,2.5556602,57
Changing Lanes,Changing Lanes,45000000,94935764,2.109683644,69
Anaconda,Anaconda,45000000,136885767,3.041905933,37
Coyote Ugly,Coyote Ugly,45000000,113916474,2.5314772,27
Love Actually,Love Actually,40000000,244931766,6.12329415,55
A Bug's Life,A Bug's Life,120000000,363258859,3.027157158,77
From Hell,From Hell,35000000,74558115,2.130231857,54
Tin Cup,Tin Cup,45000000,53854588,1.196768622,60
Kicking & Screaming,Kicking & Screaming,45000000,56070433,1.246009622,45
The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,50000000,104478416,2.08956832,63
Resident Evil: Extinction,Resident Evil: Extinction,45000000,148412065,3.298045889,41
Blended,Blended,40000000,123494610,3.08736525,31
Last Holiday,Last Holiday,45000000,38399961,0.853332467,52
Savages,Savages,45000000,82966152,1.843692267,59
Cellular,Cellular,25000000,56422687,2.25690748,60
Johnny English,Johnny English,40000000,160583018,4.01457545,51
The Ant Bully,The Ant Bully,50000000,55181129,1.10362258,59
Dune,Dune,40000000,30925690,0.77314225,40
Revolutionary Road,Revolutionary Road,35000000,75225693,2.149305514,69
16 Blocks,16 Blocks,55000000,65664721,1.193904018,63
Babylon A.D.,Babylon A.D.,70000000,72108608,1.030122971,26
Aliens in the Attic,Aliens in the Attic,45000000,57881056,1.286245689,42
The Pledge,The Pledge,35000000,29400000,0.84,71
The Producers,The Producers,45000000,38058335,0.845740778,96
Nixon,Nixon,44000000,13681765,0.310949205,66
The Ghost Writer,The Ghost Writer,45000000,60222298,1.338273289,77
Miracle at St. Anna,Miracle at St. Anna,45000000,9323833,0.207196289,37
Bangkok Dangerous,Bangkok Dangerous,45000000,42487390,0.944164222,24
Big Trouble,Big Trouble,40000000,8493890,0.21234725,47
Love in the Time of Cholera,Love in the Time of Cholera,45000000,4607608,0.102391289,43
Johnny English Reborn,Johnny English Reborn,45000000,160078586,3.557301911,46
Argo,Argo,44500000,232324128,5.220766921,86
The Fugitive,The Fugitive,44000000,368875760,8.38354,87
The Bounty Hunter,The Bounty Hunter,40000000,136000000,3.4,22
Sleepers,Sleepers,44000000,165615285,3.76398375,49
Rambo: First Blood Part II,Rambo: First Blood Part II,44000000,300400432,6.827282545,47
Heaven's Gate,Heaven's Gate,44000000,3484331,0.079189341,57
Underworld: Evolution,Underworld: Evolution,50000000,111340801,2.22681602,36
Victor Frankenstein,Victor Frankenstein,40000000,34227298,0.85568245,36
Finding Forrester,Finding Forrester,43000000,80049764,1.861622419,62
Unleashed,Unleashed,45000000,50871113,1.130469178,58
The Sweetest Thing,The Sweetest Thing,43000000,68696770,1.597599302,32
The Firm,The Firm,42000000,270248367,6.434484929,58
Charlie St. Cloud,Charlie St. Cloud,44000000,48190704,1.095243273,37
The Mechanic,The Mechanic,40000000,51070807,1.276770175,49
21 Jump Street,21 Jump Street,42000000,201585328,4.799650667,69
Notting Hill,Notting Hill,42000000,363889678,8.664039952,68
Chicken Run,Chicken Run,45000000,224834564,4.996323644,88
Along Came Polly,Along Came Polly,42000000,171963386,4.094366333,44
Boomerang,Boomerang,40000000,70100000,1.7525,45
The Heat,The Heat,43000000,158674180,3.690097209,60
Cleopatra,Cleopatra,31115000,71000000,2.281857625,60
High Crimes,High Crimes,42000000,63781810,1.518614524,48
The Mothman Prophecies,The Mothman Prophecies,32000000,55157539,1.723673094,52
Licence to Kill,Licence to Kill,32000000,156167015,4.880219219,58
Red Riding Hood,Red Riding Hood,42000000,89162162,2.122908619,29
15 Minutes,15 Minutes,60000000,56359980,0.939333,34
Lord of War,Lord of War,42000000,24127895,0.57447369,62
Hero,Hero,31000000,177394432,5.722401032,85
One for the Money,One for the Money,40000000,36893721,0.922343025,22
The Interview,The Interview,44000000,12342632,0.280514364,52
The Warrior's Way,The Warrior's Way,42000000,11087569,0.263989738,45
Micmacs,Micmacs,33000000,14000000,0.424242424,62
8 Mile,8 Mile,41000000,215000000,5.243902439,77
A Knight's Tale,A Knight's Tale,65000000,117487473,1.807499585,56
Man on a Ledge,Man on a Ledge,42000000,46221189,1.1005045,40
The Big Year,The Big Year,41000000,7448385,0.181667927,53
The Karate Kid,The Karate Kid,8000000,90815558,11.35194475,60
American Hustle,American Hustle,40000000,251171807,6.279295175,90
The Proposal,The Proposal,40000000,317375031,7.934375775,48
Double Jeopardy,Double Jeopardy,70000000,177841558,2.540593686,40
Back to the Future Part II,Back to the Future Part II,40000000,332000000,8.3,57
Lucy,Lucy,40000000,126546825,3.163670625,61
Fifty Shades of Grey,Fifty Shades of Grey,40000000,571006128,14.2751532,46
Spy Kids 3-D: Game Over,Spy Kids 3-D: Game Over,38000000,197011982,5.184525842,57
A Time to Kill,A Time to Kill,40000000,152266007,3.806650175,54
Cheaper by the Dozen,Cheaper by the Dozen,40000000,190212113,4.755302825,46
Lone Survivor,Lone Survivor,40000000,149295601,3.732390025,60
A League of Their Own,A League of Their Own,40000000,107458785,2.686469625,67
The Conjuring 2,The Conjuring 2,40000000,320170008,8.0042502,65
The Social Network,The Social Network,40000000,224920315,5.623007875,95
He's Just Not That Into You,He's Just Not That Into You,40000000,177259441,4.431486025,47
Scary Movie 4,Scary Movie 4,45000000,178262620,3.961391556,40
Scream 3,Scream 3,40000000,161834276,4.0458569,56
Back to the Future Part III,Back to the Future Part III,40000000,244527583,6.113189575,55
Get Hard,Get Hard,40000000,111811453,2.795286325,34
42,42,40000000,95020213,2.375505325,62
The Talented Mr. Ripley,The Talented Mr. Ripley,40000000,128798265,3.219956625,76
Dumb and Dumber To,Dumb and Dumber To,40000000,169837010,4.24592525,36
Eight Below,Eight Below,40000000,120455994,3.01139985,64
The Intern,The Intern,35000000,194564672,5.558990629,51
Ride Along 2,Ride Along 2,40000000,124827316,3.1206829,32
The Last of the Mohicans,The Last of the Mohicans,40000000,75505856,1.8876464,76
Ray,Ray,40000000,124731534,3.11828835,73
Sin City,Sin City,40000000,158733820,3.9683455,74
Vantage Point,Vantage Point,40000000,151161491,3.779037275,40
"I Love You, Man","I Love You, Man",41000000,91636986,2.235048439,70
Shallow Hal,Shallow Hal,40000000,141069860,3.5267465,48
JFK,JFK,40000000,205405498,5.13513745,72
Big Momma's House 2,Big Momma's House 2,40000000,138259062,3.45647655,34
The Mexican,The Mexican,57000000,147845033,2.593772509,43
17 Again,17 Again,20000000,136267476,6.8133738,48
The Other Woman,The Other Woman,40000000,196781193,4.919529825,39
The Final Destination,The Final Destination,40000000,186167139,4.654178475,30
Bridge of Spies,Bridge of Spies,40000000,165478348,4.1369587,81
Behind Enemy Lines,Behind Enemy Lines,40000000,91753202,2.29383005,49
Get Him to the Greek,Get Him to the Greek,40000000,90029656,2.2507414,65
Shall We Dance?,Shall We Dance?,50000000,170128460,3.4025692,68
Spawn,Spawn,40000000,87840042,2.19600105,34
The Count of Monte Cristo,The Count of Monte Cristo,35000000,75395048,2.154144229,61
The Lincoln Lawyer,The Lincoln Lawyer,40000000,85412898,2.13532245,63
Unknown,Unknown,30000000,130786397,4.359546567,56
The Prestige,The Prestige,40000000,109676311,2.741907775,66
Horrible Bosses 2,Horrible Bosses 2,42000000,107670357,2.563579929,40
Escape from Planet Earth,Escape from Planet Earth,40000000,74597643,1.864941075,35
Apocalypto,Apocalypto,40000000,120175290,3.00438225,68
The Living Daylights,The Living Daylights,40000000,191185897,4.779647425,60
Predators,Predators,40000000,126248813,3.156220325,51
Secret Window,Secret Window,40000000,92913171,2.322829275,46
The Lake House,The Lake House,40000000,114830111,2.870752775,52
The Skeleton Key,The Skeleton Key,43000000,91974818,2.138949256,47
Made of Honor,Made of Honor,40000000,84601681,2.115042025,37
Jersey Boys,Jersey Boys,40000000,67347013,1.683675325,54
The Rainmaker,The Rainmaker,40000000,45916769,1.147919225,72
Gothika,Gothika,40000000,141591324,3.5397831,38
Amistad,Amistad,36000000,74000000,2.055555556,63
Aliens vs Predator: Requiem,Aliens vs Predator: Requiem,40000000,41797066,1.04492665,29
Music and Lyrics,Music and Lyrics,40000000,145896422,3.64741055,59
Paul,Paul,40000000,97552050,2.43880125,57
