Title,Title,Budget,Revenue,BD Ratio,IMDB score
My Cousin Vinny,My Cousin Vinny,11000000,64088552,5.826232,7.60
If I Stay,If I Stay,11000000,78874843,7.170440273,6.70
Major League,Major League,11000000,49797148,4.527013455,7.20
Phone Booth,Phone Booth,13000000,97837138,7.525933692,7.00
A Walk to Remember,A Walk to Remember,11000000,41227069,3.747915364,7.40
Dead Man Walking,Dead Man Walking,11000000,39363635,3.578512273,7.50
Cruel Intentions,Cruel Intentions,10500000,75902208,7.228781714,6.80
Saw VI,Saw VI,11000000,68233629,6.203057182,6.00
History of the World: Part I,History of the World: Part I,11000000,31672907,2.879355182,6.90
The Secret Life of Bees,The Secret Life of Bees,11000000,38105395,3.464126818,7.30
Corky Romano,Corky Romano,11000000,23978402,2.179854727,4.70
Raising Cain,Raising Cain,12000000,37170057,3.09750475,6.10
F.I.S.T.,F.I.S.T.,11,11,1,6.40
Invaders from Mars,Invaders from Mars,12000000,4884663,0.40705525,5.50
Brooklyn,Brooklyn,11000000,62076141,5.643285545,7.50
Barry Lyndon,Barry Lyndon,11000000,20000000,1.818181818,8.10
Out Cold,Out Cold,24000000,14782676,0.615944833,6.30
The Ladies Man,The Ladies Man,24000000,13700000,0.570833333,5.20
Quartet,Quartet,11000000,59520298,5.410936182,6.80
Tomcats,Tomcats,11000000,23430766,2.130069636,5.40
Frailty,Frailty,11000000,13110448,1.191858909,7.20
Woman in Gold,Woman in Gold,11000000,61619773,5.601797545,7.30
Slackers,Slackers,14000000,6413915,0.458136786,5.40
What's Eating Gilbert Grape,What's Eating Gilbert Grape,11000000,30000000,2.727272727,7.80
The Visual Bible: The Gospel of John,The Visual Bible: The Gospel of John,10000000,4069090,0.406909,7.70
The Perez Family,The Perez Family,11000000,2832826,0.257529636,6.10
Inside Llewyn Davis,Inside Llewyn Davis,11000000,32935319,2.994119909,7.50
Return to the Blue Lagoon,Return to the Blue Lagoon,11000000,2807854,0.255259455,5.20
The Molly Maguires,The Molly Maguires,11000000,2200000,0.2,6.90
Saw V,Saw V,10800000,113857533,10.54236417,5.80
Kabhi Alvida Naa Kehna,Kabhi Alvida Naa Kehna,7400000,17000000,2.297297297,6.10
An Ideal Husband,An Ideal Husband,14000000,18535191,1.323942214,6.80
2001: A Space Odyssey,2001: A Space Odyssey,10500000,68700000,6.542857143,8.30
In the Land of Women,In the Land of Women,10000000,17500000,1.75,6.40
There Goes My Baby,There Goes My Baby,10500000,123509,0.011762762,6.40
For Greater Glory - The True Story of Cristiada,For Greater Glory - The True Story of Cristiada,12000000,9622846,0.801903833,6.50
Stripes,Stripes,10000000,85300000,8.53,6.90
Bring It On,Bring It On,28000000,90449929,3.230354607,6.00
The Purge: Election Year,The Purge: Election Year,10000000,118587880,11.858788,6.00
She's All That,She's All That,10000000,103166989,10.3166989,5.90
Saw IV,Saw IV,10000000,139352633,13.9352633,5.90
White Noise,White Noise,10000000,91196419,9.1196419,5.50
Madea's Family Reunion,Madea's Family Reunion,6000000,57231524,9.538587333,5.20
The Color of Money,The Color of Money,13800000,52293982,3.789418986,7.00
The Longest Day,The Longest Day,10000000,50100000,5.01,7.80
The Mighty Ducks,The Mighty Ducks,10000000,50752337,5.0752337,6.50
Happy Gilmore,Happy Gilmore,12000000,41205099,3.43375825,7.00
Jeepers Creepers,Jeepers Creepers,10000000,59217789,5.9217789,6.20
Bill & Ted's Excellent Adventure,Bill & Ted's Excellent Adventure,10000000,40485039,4.0485039,6.50
Oliver!,Oliver!,10000000,37402877,3.7402877,7.40
The Best Exotic Marigold Hotel,The Best Exotic Marigold Hotel,10000000,136836156,13.6836156,7.20
Recess: School's Out,Recess: School's Out,10000000,44460850,4.446085,6.60
Mad Max Beyond Thunderdome,Mad Max Beyond Thunderdome,12305523,36230219,2.944224232,6.30
Commando,Commando,10000000,57500000,5.75,6.70
The Boy,The Boy,10000000,64188367,6.4188367,6.00
Devil,Devil,10000000,33583175,3.3583175,6.20
Friday After Next,Friday After Next,20000000,33526835,1.67634175,5.80
Insidious: Chapter 3,Insidious: Chapter 3,10000000,104303851,10.4303851,6.10
The Last Dragon,The Last Dragon,10000000,25754284,2.5754284,6.90
The Lawnmower Man,The Lawnmower Man,10000000,32101000,3.2101,5.40
Nick and Norah's Infinite Playlist,Nick and Norah's Infinite Playlist,9000000,32973937,3.663770778,6.60
Dogma,Dogma,10000000,30652890,3.065289,7.30
Twilight Zone: The Movie,Twilight Zone: The Movie,10000000,29450919,2.9450919,6.50
Road House,Road House,15000000,30050028,2.0033352,6.60
A Low Down Dirty Shame,A Low Down Dirty Shame,10000000,29392418,2.9392418,6.00
Swimfan,Swimfan,8500000,34411240,4.048381176,5.10
Employee of the Month,Employee of the Month,12000000,38368909,3.197409083,5.50
Can't Hardly Wait,Can't Hardly Wait,10000000,25605015,2.5605015,6.50
The Outsiders,The Outsiders,10000000,33697647,3.3697647,7.10
Pete's Dragon,Pete's Dragon,65000000,143695338,2.210697508,6.70
The Dead Zone,The Dead Zone,10000000,20766616,2.0766616,7.20
Sinister 2,Sinister 2,10000000,52882018,5.2882018,5.30
Sparkle,Sparkle,14000000,24637469,1.759819214,5.70
The Fourth Kind,The Fourth Kind,10000000,42333295,4.2333295,5.90
Rushmore,Rushmore,9000000,17096053,1.899561444,7.70
Skyline,Skyline,10000000,66821036,6.6821036,4.40
The Second Best Exotic Marigold Hotel,The Second Best Exotic Marigold Hotel,10000000,85978266,8.5978266,6.60
Mo' Better Blues,Mo' Better Blues,10000000,16153593,1.6153593,6.60
Tremors,Tremors,11000000,48572000,4.415636364,7.10
Wrong Turn,Wrong Turn,12600000,28650575,2.273855159,6.10
The Long Riders,The Long Riders,10000000,15795189,1.5795189,7.00
The Corruptor,The Corruptor,25000000,15156200,0.606248,6.10
Mud,Mud,10000000,21587700,2.15877,7.40
Reno 911!: Miami,Reno 911!: Miami,10000000,20342161,2.0342161,5.90
My Week with Marilyn,My Week with Marilyn,6400000,35057696,5.477765,7.00
The Matador,The Matador,10000000,17297244,1.7297244,6.70
The Gift,The Gift,5000000,58978653,11.7957306,7.00
Office Space,Office Space,10000000,12827813,1.2827813,7.70
Drop Dead Gorgeous,Drop Dead Gorgeous,10000000,10571408,1.0571408,6.60
Big Eyes,Big Eyes,10000000,28883511,2.8883511,7.00
Very Bad Things,Very Bad Things,30000000,9898412,0.329947067,6.40
Body Double,Body Double,10000000,8801940,0.880194,6.80
MacGruber,MacGruber,10000000,6110000,0.611,5.50
Movie 43,Movie 43,6000000,32438988,5.406498,4.30
Seeking a Friend for the End of the World,Seeking a Friend for the End of the World,10000000,9636289,0.9636289,6.70
American History X,American History X,20000000,23875127,1.19375635,8.50
The Red Violin,The Red Violin,18000000,9495408,0.527522667,7.60
Bad Words,Bad Words,9500000,7800000,0.821052632,6.60
Heartbeeps,Heartbeeps,10000000,2154696,0.2154696,4.20
Black or White,Black or White,9000000,21571189,2.396798778,6.60
Rescue Dawn,Rescue Dawn,10000000,7177143,0.7177143,7.30
Danny Collins,Danny Collins,10000000,10835752,1.0835752,7.00
"Jeff, Who Lives at Home","Jeff, Who Lives at Home",10000000,4417580,0.441758,6.50
Romeo Is Bleeding,Romeo Is Bleeding,11500000,3275585,0.284833478,6.60
The Limey,The Limey,10000000,3193102,0.3193102,7.00
The House of Mirth,The House of Mirth,10000000,5164404,0.5164404,7.00
The Forest,The Forest,10000000,40055439,4.0055439,4.80
Sphinx,Sphinx,14000000,439564,0.031397429,5.30
While We're Young,While We're Young,10000000,7587485,0.7587485,6.30
A Better Life,A Better Life,10000000,1759252,0.1759252,7.20
Gun Shy,Gun Shy,10000000,1631839,0.1631839,5.70
The Iceman,The Iceman,20000000,1969193,0.09845965,6.80
Killer Joe,Killer Joe,10000000,3665069,0.3665069,6.70
The Joneses,The Joneses,10000000,7022728,0.7022728,6.50
My Blueberry Nights,My Blueberry Nights,10000000,21786738,2.1786738,6.60
Swept Away,Swept Away,10000000,598645,0.0598645,3.60
"War, Inc.","War, Inc.",5000000,1296184,0.2592368,5.60
Coriolanus,Coriolanus,7700000,1072602,0.139298961,6.10
World's Greatest Dad,World's Greatest Dad,10000000,295750,0.029575,6.90
"An Alan Smithee Film: Burn, Hollywood, Burn","An Alan Smithee Film: Burn, Hollywood, Burn",10000000,45779,0.0045779,3.50
Strangerland,Strangerland,10000000,17472,0.0017472,5.20
Janky Promoters,Janky Promoters,10000000,9069,0.0009069,5.10
Of Horses and Men,Of Horses and Men,10,11,1.1,6.80
Adventureland,Adventureland,9500000,17164377,1.806776526,6.80
The Lost City,The Lost City,9600000,4386236,0.456899583,6.60
Next Friday,Next Friday,11000000,59827328,5.438848,6.10
You Only Live Twice,You Only Live Twice,9500000,111584787,11.74576705,6.90
Amour,Amour,8900000,19839492,2.229156404,7.90
Poltergeist III,Poltergeist III,10500000,14144000,1.347047619,4.70
"It's a Mad, Mad, Mad, Mad World","It's a Mad, Mad, Mad, Mad World",9400000,60000000,6.382978723,7.50
Volver,Volver,12899867,85582407,6.634363517,7.60
Melancholia,Melancholia,7400000,21817298,2.948283514,7.10
Alien,Alien,11000000,104931801,9.539254636,8.40
The Runaways,The Runaways,10000000,2995811,0.2995811,6.50
Fiddler on the Roof,Fiddler on the Roof,9000000,83304330,9.256036667,8.00
Loose Cannons,Loose Cannons,7000000,8220215,1.174316429,7.30
Set It Off,Set It Off,9000000,41590886,4.621209556,6.90
The Best Man,The Best Man,9000000,34573780,3.841531111,6.80
Child's Play,Child's Play,9000000,44196684,4.910742667,6.60
Sicko,Sicko,9000000,24538513,2.726501444,7.90
The Purge: Anarchy,The Purge: Anarchy,9000000,108782847,12.086983,6.40
Harold & Kumar Go to White Castle,Harold & Kumar Go to White Castle,9000000,23936908,2.659656444,5.50
Boiler Room,Boiler Room,26000000,28780255,1.106932885,7.00
Trading Places,Trading Places,40600000,90400000,2.226600985,7.50
Black Christmas,Black Christmas,9000000,21510851,2.390094556,7.20
The Way of the Gun,The Way of the Gun,8500000,19125401,2.250047176,6.70
Igby Goes Down,Igby Goes Down,9000000,4777465,0.530829444,6.90
PCU,PCU,9000000,4350774,0.483419333,6.60
Gracie,Gracie,9000000,2955039,0.328337667,6.20
Barbecue,Barbecue,6000000,14348529,2.3914215,6.10
Princess Kaiulani,Princess Kaiulani,9000000,771499,0.085722111,6.20
Opal Dream,Opal Dream,5000000,140666,0.0281332,6.60
Undiscovered,Undiscovered,9000000,1046166,0.116240667,4.30
Awake,Awake,86000000,14373825,0.1671375,6.50
The Lost Boys,The Lost Boys,8500000,32222567,3.790890235,7.30
Crazy Heart,Crazy Heart,7000000,39462438,5.637491143,7.20
The Rose,The Rose,9250000,29174648,3.154016,7.00
Baggage Claim,Baggage Claim,8500000,22456509,2.641942235,5.10
Barbarella,Barbarella,9000000,2500000,0.277777778,5.90
The Namesake,The Namesake,12000000,20138836,1.678236333,7.50
The DUFF,The DUFF,8500000,43528634,5.121015765,6.50
Glitter,Glitter,22000000,5271666,0.239621182,2.20
Bright Star,Bright Star,8500000,4440055,0.522359412,6.90
My Name Is Khan,My Name Is Khan,12000000,42345360,3.52878,8.00
All Is Lost,All Is Lost,9000000,6108720,0.678746667,6.90
Limbo,Limbo,8000000,1997807,0.249725875,6.90
The Wind That Shakes the Barley,The Wind That Shakes the Barley,6500000,22889018,3.521387385,7.50
Yeh Jawaani Hai Deewani,Yeh Jawaani Hai Deewani,7700000,46000000,5.974025974,7.10
Quo Vadis,Quo Vadis,8250000,30000000,3.636363636,7.20
Nightcrawler,Nightcrawler,8500000,38697217,4.552613765,7.90
Club Dread,Club Dread,8500000,5001655,0.58843,5.70
Splash,Splash,8000000,69821334,8.72766675,6.20
Little Miss Sunshine,Little Miss Sunshine,8000000,100523181,12.56539763,7.80
Stand by Me,Stand by Me,8000000,52287414,6.53592675,8.10
Escape from Alcatraz,Escape from Alcatraz,8000000,43000000,5.375,7.60
Brown Sugar,Brown Sugar,8000000,27362712,3.420339,6.50
50/50,50/50,8000000,39187783,4.898472875,7.60
That Awkward Moment,That Awkward Moment,8000000,26049082,3.25613525,6.10
On Her Majesty's Secret Service,On Her Majesty's Secret Service,6500000,81974493,12.61146046,6.70
New Nightmare,New Nightmare,14000000,18090181,1.292155786,6.40
Drive Me Crazy,Drive Me Crazy,8000000,22593409,2.824176125,5.80
Akeelah and the Bee,Akeelah and the Bee,8000000,18948425,2.368553125,7.30
Half Baked,Half Baked,8000000,17460020,2.1825025,6.70
New in Town,New in Town,8000000,29010817,3.626352125,5.60
American Psycho,American Psycho,7000000,34266564,4.895223429,7.60
The Good Girl,The Good Girl,8000000,16856124,2.1070155,6.40
Bon Cop Bad Cop,Bon Cop Bad Cop,8000000,12671300,1.5839125,6.80
The Boondock Saints II: All Saints Day,The Boondock Saints II: All Saints Day,8000000,10629321,1.328665125,6.30
Easy A,Easy A,8000000,74952305,9.369038125,7.10
Shadow of the Vampire,Shadow of the Vampire,8000000,8279017,1.034877125,6.90
Prom,Prom,8000000,10130000,1.26625,5.40
Anomalisa,Anomalisa,8000000,5659286,0.70741075,7.30
Another Year,Another Year,8000000,18124262,2.26553275,7.30
Showdown in Little Tokyo,Showdown in Little Tokyo,8000000,2275557,0.284444625,6.10
It's Kind of a Funny Story,It's Kind of a Funny Story,8000000,6491240,0.811405,7.10
Prefontaine,Prefontaine,8000000,589304,0.073663,6.80
Begin Again,Begin Again,8000000,63464861,7.933107625,7.40
Down in the Valley,Down in the Valley,8000000,852872,0.106609,6.40
Brooklyn Rules,Brooklyn Rules,8000000,458232,0.057279,6.30
Fido,Fido,8000000,426224,0.053278,6.70
Wild Target,Wild Target,8000000,3453043,0.431630375,6.80
10th & Wolf,10th & Wolf,8000000,143451,0.017931375,8.30
Aloft,Aloft,8000000,53086,0.00663575,5.30
Akira,Akira,8000000,553171,0.069146375,8.10
Swimming Pool,Swimming Pool,7800000,22441323,2.877092692,6.70
Rumble in the Bronx,Rumble in the Bronx,7500000,32392047,4.3189396,6.70
Thank You for Smoking,Thank You for Smoking,6500000,24793509,3.814386,7.60
Hostel: Part II,Hostel: Part II,10200000,35619521,3.492109902,5.50
An Education,An Education,7500000,26096852,3.479580267,7.30
Shopgirl,Shopgirl,10284523,11588205,1.126761543,6.30
Narc,Narc,6500000,12633747,1.943653385,7.10
Men with Brooms,Men with Brooms,7500000,4245870,0.566116,5.70
The Work and the Glory,The Work and the Glory,7500000,3347647,0.446352933,6.90
Extract,Extract,8000000,10848783,1.356097875,6.10
Albert Nobbs,Albert Nobbs,8000000,5634828,0.7043535,6.70
The Wave,The Wave,7500000,19000000,2.533333333,7.60
The Neon Demon,The Neon Demon,7000000,1333124,0.190446286,6.20
Harry Brown,Harry Brown,7300000,10329747,1.415033836,7.20
(500) Days of Summer,(500) Days of Summer,7500000,60722734,8.096364533,7.80
Jumping the Broom,Jumping the Broom,6600000,37710610,5.713728788,5.70
"Good Night, and Good Luck.","Good Night, and Good Luck.",7000000,54600000,7.8,7.40
Capote,Capote,7000000,49084830,7.012118571,7.30
Desperado,Desperado,7000000,25405445,3.629349286,7.20
Logan's Run,Logan's Run,9000000,25000000,2.777777778,6.80
The Man with the Golden Gun,The Man with the Golden Gun,7000000,97572000,13.93885714,6.80
Action Jackson,Action Jackson,7000000,20256975,2.893853571,5.40
Devil's Due,Devil's Due,7000000,36433975,5.204853571,4.10
Flirting with Disaster,Flirting with Disaster,7000000,14702438,2.100348286,6.80
In Too Deep,In Too Deep,7000000,14011454,2.001636286,6.30
House of 1000 Corpses,House of 1000 Corpses,7000000,16829545,2.404220714,6.10
A Serious Man,A Serious Man,7000000,31430334,4.490047714,7.00
Beyond the Lights,Beyond the Lights,7000000,14618727,2.088389571,6.90
The Last Temptation of Christ,The Last Temptation of Christ,7000000,8373585,1.196226429,7.60
Outside Providence,Outside Providence,7000000,7292175,1.041739286,6.40
Split Second,Split Second,7,5,0.714285714,6.20
The Other Side of Heaven,The Other Side of Heaven,7000000,4720371,0.674338714,6.40
Veer-Zaara,Veer-Zaara,7000000,29385320,4.197902857,7.80
Auto Focus,Auto Focus,7000000,2062066,0.294580857,6.60
We Need to Talk About Kevin,We Need to Talk About Kevin,7000000,6038942,0.862706,7.50
Losin' It,Losin' It,7000000,1246141,0.178020143,4.90
I Hope They Serve Beer in Hell,I Hope They Serve Beer in Hell,7000000,1429299,0.204185571,5.30
Hesher,Hesher,7000000,382946,0.054706571,7.00
Freeheld,Freeheld,7000000,573335,0.081905,6.60
The Extra Man,The Extra Man,7000000,453079,0.064725571,5.80
Hard to Be a God,Hard to Be a God,7000000,1310673,0.187239,6.70
Ca$h,Ca$h,7000000,46488,0.006641143,6.00
The Boondock Saints,The Boondock Saints,6000000,30471,0.0050785,7.80
The Snow Queen,The Snow Queen,7000000,12400000,1.771428571,7.80
Stargate: The Ark of Truth,Stargate: The Ark of Truth,7000000,8900000,1.271428571,7.40
Dazed and Confused,Dazed and Confused,6900000,7993039,1.158411449,7.60
House at the End of the Street,House at the End of the Street,6900000,44287131,6.418424783,5.60
Incendies,Incendies,6800000,7103838,1.044682059,8.30
Bran Nue Dae,Bran Nue Dae,7,7,1,6.30
Boyz n the Hood,Boyz n the Hood,6500000,57504069,8.846779846,7.70
La Bamba,La Bamba,6500000,54215416,8.340833231,6.90
Dressed to Kill,Dressed to Kill,6500000,31899000,4.907538462,7.10
Go,Go,6500000,28451622,4.377172615,7.20
Friends with Money,Friends with Money,6500000,13368437,2.056682615,5.80
The Andromeda Strain,The Andromeda Strain,6500000,12376563,1.904086615,7.20
Shame,Shame,6500000,17693675,2.722103846,7.20
Layer Cake,Layer Cake,6500000,11850214,1.823109846,7.30
The Work and the Glory II: American Zion,The Work and the Glory II: American Zion,6500000,2025032,0.311543385,6.60
The East,The East,6500000,2401510,0.369463077,6.80
A Home at the End of the World,A Home at the End of the World,6500000,1548955,0.238300769,6.70
The Messenger,The Messenger,6500000,1521261,0.234040154,7.10
The Terminator,The Terminator,6400000,78371200,12.2455,8.00
The Return of the Living Dead,The Return of the Living Dead,4000000,14237000,3.55925,7.30
Mallrats,Mallrats,6000000,2122561,0.353760167,7.10
West Side Story,West Side Story,6000000,43656822,7.276137,7.50
Caddyshack,Caddyshack,6000000,39846344,6.641057333,7.30
The Wood,The Wood,6000000,25059640,4.176606667,7.00
The Usual Suspects,The Usual Suspects,6000000,23341568,3.890261333,8.50
A Nightmare on Elm Street 5: The Dream Child,A Nightmare on Elm Street 5: The Dream Child,8000000,22168359,2.771044875,5.10
The Wrestler,The Wrestler,6000000,44703995,7.450665833,7.90
Duel in the Sun,Duel in the Sun,6000000,20400000,3.4,6.80
Escape from New York,Escape from New York,6000000,50244700,8.374116667,7.20
Daddy Day Camp,Daddy Day Camp,6000000,18197398,3.032899667,3.10
Mr. Nice Guy,Mr. Nice Guy,12716953,18814720,1.479499059,6.20
A Mighty Wind,A Mighty Wind,6000000,18750246,3.125041,7.20
Sliding Doors,Sliding Doors,6000000,58000000,9.666666667,6.70
Tales from the Hood,Tales from the Hood,6000000,12000000,2,6.30
The Last King of Scotland,The Last King of Scotland,6000000,48027970,8.004661667,7.70
Halloween 5: The Revenge of Michael Myers,Halloween 5: The Revenge of Michael Myers,5000000,11642254,2.3284508,5.20
Bernie,Bernie,5000000,9206470,1.841294,6.80
200 Cigarettes,200 Cigarettes,6000000,6852450,1.142075,6.00
The Words,The Words,6000000,13231461,2.2052435,7.00
City Island,City Island,6000000,6670712,1.111785333,7.40
The Guard,The Guard,6000000,19560274,3.260045667,7.30
College,College,7000000,6230276,0.890039429,4.60
The Virgin Suicides,The Virgin Suicides,6000000,10409377,1.734896167,7.20
Wish I Was Here,Wish I Was Here,5500000,5483299,0.996963455,6.70
Simply Irresistible,Simply Irresistible,6000000,4398989,0.733164833,5.30
Only the Strong,Only the Strong,6000000,3283371,0.5472285,6.60
Shattered Glass,Shattered Glass,6000000,2944752,0.490792,7.10
Novocaine,Novocaine,6000000,2025238,0.337539667,5.80
The Wild Bunch,The Wild Bunch,6244087,638641,0.102279324,7.90
The Wackness,The Wackness,6000000,2899975,0.483329167,7.00
Beastmaster 2: Through the Portal of Time,Beastmaster 2: Through the Portal of Time,6000000,869325,0.1448875,4.00
The 5th Quarter,The 5th Quarter,6000000,399611,0.066601833,5.60
Snow Flower and the Secret Fan,Snow Flower and the Secret Fan,134005,1332231,9.941651431,6.10
"Surfer, Dude","Surfer, Dude",6000000,69497,0.011582833,4.70
Deadfall,Deadfall,12000000,66351,0.00552925,6.30
Videodrome,Videodrome,5952000,2120439,0.356256552,7.30
Song One,Song One,6000000,32251,0.005375167,5.80
The Train,The Train,5800000,6800000,1.172413793,7.90
The Protector,The Protector,6000000,27165581,4.527596833,7.10
Crossover,Crossover,5800000,7000000,1.206896552,2.10
Chariots of Fire,Chariots of Fire,5500000,58972904,10.72234618,7.20
High Plains Drifter,High Plains Drifter,5500000,15700000,2.854545455,7.50
Galaxina,Galaxina,5500000,4865000,0.884545455,3.70
Mambo Italiano,Mambo Italiano,4361898,3031801,0.695064626,6.70
Wonderland,Wonderland,5000000,2466444,0.4932888,6.60
Do the Right Thing,Do the Right Thing,6500000,37295445,5.737760769,7.90
Rang De Basanti,Rang De Basanti,2200000,11502151,5.228250455,8.20
Miss Julie,Miss Julie,5500000,5000000,0.909090909,5.40
10 Cloverfield Lane,10 Cloverfield Lane,15000000,108286421,7.219094733,7.20
Jackass: The Movie,Jackass: The Movie,5000000,64282312,12.8564624,6.60
Lights Out,Lights Out,4900000,44107032,9.001435102,6.30
A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street 3: Dream Warriors,5000000,44793222,8.9586444,6.60
The Robe,The Robe,4100000,36000000,8.780487805,6.70
The Return of the Pink Panther,The Return of the Pink Panther,5000000,41833347,8.3666694,7.10
Freddy's Dead: The Final Nightmare,Freddy's Dead: The Final Nightmare,11000000,34872033,3.170184818,6.90
Monster,Monster,8000000,60378584,7.547323,7.30
"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",5000000,28200000,5.64,7.20
The Elephant Man,The Elephant Man,5000000,26010864,5.2021728,8.10
Dallas Buyers Club,Dallas Buyers Club,5000000,55198285,11.039657,8.00
Memento,Memento,9000000,39723096,4.413677333,8.40
Oculus,Oculus,5000000,44030246,8.8060492,6.50
Clerks II,Clerks II,5000000,26888376,5.3776752,7.30
The Way Way Back,The Way Way Back,4600000,23198652,5.043185217,7.40
The Man from Snowy River,The Man from Snowy River,3500000,20659423,5.902692286,7.30
Our Idiot Brother,Our Idiot Brother,10000000,17273593,1.7273593,6.40
Race,Race,5000000,24804129,4.9608258,7.10
"As Above, So Below","As Above, So Below",5000000,40100000,8.02,6.20
Still Alice,Still Alice,5000000,43884652,8.7769304,7.50
The Egyptian,The Egyptian,5000000,15000000,3,6.60
Nighthawks,Nighthawks,5000000,19905359,3.9810718,6.40
Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th Part VIII: Jason Takes Manhattan,5000000,14000000,2.8,7.80
Spring Breakers,Spring Breakers,5000000,31724284,6.3448568,5.30
Halloween: The Curse of Michael Myers,Halloween: The Curse of Michael Myers,5000000,15116634,3.0233268,4.90
Shaun of the Dead,Shaun of the Dead,4000000,30039392,7.509848,7.90
Lone Star,Lone Star,5000000,13269963,2.6539926,7.40
Halloween 4: The Return of Michael Myers,Halloween 4: The Return of Michael Myers,5000000,17768757,3.5537514,5.90
Lone Wolf McQuade,Lone Wolf McQuade,5000000,12232628,2.4465256,6.40
Apollo 18,Apollo 18,5000000,25562924,5.1125848,5.20
Sunshine Cleaning,Sunshine Cleaning,5000000,16174377,3.2348754,6.80
No Escape,No Escape,5000000,54418872,10.8837744,6.80
Solomon and Sheba,Solomon and Sheba,5000000,12200000,2.44,6.20
Fifty Shades of Black,Fifty Shades of Black,20000000,21164799,1.05823995,3.50
A Farewell to Arms,A Farewell to Arms,4,25,6.25,6.50
The Barbarian Invasions,The Barbarian Invasions,8000000,3432342,0.42904275,7.60
Force 10 from Navarone,Force 10 from Navarone,5000000,7230000,1.446,6.40
Once Upon a Time in the West,Once Upon a Time in the West,5000000,5321508,1.0643016,8.50
Made,Made,5000000,5476060,1.095212,6.40
Moon,Moon,5000000,9760104,1.9520208,7.90
Sea Rex 3D: Journey to a Prehistoric World,Sea Rex 3D: Journey to a Prehistoric World,5000000,4074023,0.8148046,6.70
The Sweet Hereafter,The Sweet Hereafter,5000000,3263585,0.652717,7.50
Of Gods and Men,Of Gods and Men,4000000,41424067,10.35601675,7.20
Bottle Shock,Bottle Shock,5000000,4040588,0.8081176,6.80
Heavenly Creatures,Heavenly Creatures,5000000,3049135,0.609827,7.30
90 Minutes in Heaven,90 Minutes in Heaven,5000000,4842699,0.9685398,4.70
Everything Must Go,Everything Must Go,5000000,2614773,0.5229546,6.40
Zero Effect,Zero Effect,5000000,1980338,0.3960676,6.90
The Machinist,The Machinist,5000000,8203235,1.640647,7.70
Kill the Messenger,Kill the Messenger,5000000,2450846,0.4901692,6.90
Rabbit Hole,Rabbit Hole,5000000,5129058,1.0258116,7.00
Party Monster,Party Monster,5000000,742898,0.1485796,6.30
Green Room,Green Room,5000000,3220371,0.6440742,7.00
Bottle Rocket,Bottle Rocket,7000000,560069,0.080009857,7.00
Tucker and Dale vs Evil,Tucker and Dale vs Evil,5000000,5476793,1.0953586,7.50
Redacted,Redacted,5000000,782102,0.1564204,6.10
Soul Kitchen,Soul Kitchen,5000000,17872796,3.5745592,7.30
The Awakening,The Awakening,4798235,209696,0.043702737,6.50
Take Shelter,Take Shelter,5000000,3099314,0.6198628,7.40
The Texas Chainsaw Massacre 2,The Texas Chainsaw Massacre 2,4700000,8025872,1.70763234,5.60
Pat Garrett & Billy the Kid,Pat Garrett & Billy the Kid,4638783,11000000,2.371311613,7.30
Only God Forgives,Only God Forgives,4800000,10337387,2.153622292,5.70
The Blue Lagoon,The Blue Lagoon,4500000,58853106,13.078468,5.80
Fast Times at Ridgemont High,Fast Times at Ridgemont High,4500000,27092880,6.02064,7.20
Moby Dick,Moby Dick,4500000,10400000,2.311111111,7.30
25th Hour,25th Hour,15000000,13060843,0.870722867,7.60
Bound,Bound,4500000,7011317,1.558070444,7.30
Requiem for a Dream,Requiem for a Dream,4500000,7390108,1.642246222,8.30
Moms' Night Out,Moms' Night Out,5000000,10429707,2.0859414,5.40
Donnie Darko,Donnie Darko,6000000,1270522,0.211753667,8.00
Life During Wartime,Life During Wartime,4500000,744816,0.165514667,6.40
After.Life,After.Life,4500000,3606395,0.801421111,5.90
Airlift,Airlift,4500000,32000000,7.111111111,8.00
The Sweeney,The Sweeney,3730500,6294161,1.687216459,6.10
Whale Rider,Whale Rider,8000000,41400000,5.175,7.50
Night Watch,Night Watch,4200000,32000000,7.619047619,6.40
Annie Hall,Annie Hall,4000000,38251425,9.56285625,8.00
The Greatest Show on Earth,The Greatest Show on Earth,4000000,36000000,9,6.60
Monster's Ball,Monster's Ball,4000000,44909486,11.2273715,7.00
Maggie,Maggie,4000000,187112,0.046778,5.60
Leaving Las Vegas,Leaving Las Vegas,3600000,49800000,13.83333333,7.50
The Boy Next Door,The Boy Next Door,4000000,52425855,13.10646375,4.70
Trapeze,Trapeze,4000000,14400000,3.6,6.90
The Kids Are All Right,The Kids Are All Right,3500000,34705850,9.915957143,7.00
They Live,They Live,4000000,13008928,3.252232,7.30
The Great Escape,The Great Escape,4000000,11744471,2.93611775,8.20
The Last Exorcism Part II,The Last Exorcism Part II,5000000,15179302,3.0358604,4.00
Boyhood,Boyhood,4000000,44349000,11.08725,7.90
Scoop,Scoop,4000000,31584901,7.89622525,6.70
The Wash,The Wash,7000000,10229331,1.461333,4.80
3 Strikes,3 Strikes,6000000,9000000,1.5,4.70
The Misfits,The Misfits,4000000,8200000,2.05,7.30
